Question,Answer
Can we add more visitors along with the parents?,"➽ Yes, you can add number of visitors who came along with the parent after searching for the student from ""Parent"" and selecting ""Has More Visitors."" PATH : Branch Level 🡆Click on Visitor Management /Parent /Search Student. ★ You can select the no of visitors and proceed to enter the details of the visitors. ★ You can also update the better features like temperature and mask On or off, along with the visitor's details."
Can we mention if the parent came to Pick up the student or meet the Administration?,"➽ Yes, you can mention if the parent came for Student Pick up or to meet the administration department ⪢ Search the student in the Parent option in Visitor Management, and after adding the visitor details, you can select the option for Student Pickup or Administration. ⪢ If a student pickup then the staff has to give the print. ⪢ If the parent wants to meet administration, then the branch user should select the user type as principal, chairman/director, and others (to choose the staff). ⪢ If the branch users are using the app, then the user will get an alert on the mobile to allow or deny. ⪢ The branch user filling out the details will be followed based on the response. ⪢ If allowed, you can issue an ID card also and generate the visitor slip. PATH : Branch Level 🡆Click on Visitor Management /Parent /Search Student."
How to add a visitor who is coming to enquire about admissions?,"➽ You can add the New Admission visitor from the visitor management from the branch level by clicking on ""New Admission"" by following the below points. ✦ Collect the details of the new admission parent visitor. ✦ You can also take a picture of the visitor. ✦ Can validate the user by OTP (if the template is approved) or can proceed manually. ✦ Can add the No of visitors (max 3 members) visits. ✦ Can select the user type to whom the parent wants to meet. ✦ If the branch users are using the app, then the user will get an alert on the mobile to allow or deny. ✦ The branch user filling out the details will be followed based on the response. ✦ If allowed, you can issue an ID card also and generate the visitor slip. PATH : Branch Level 🡆Click on Visitor Management /New Admission /Search Student. ✨ The same New admission inquiry visit will be viewed by the counselor/branch user in the admissions module follow-up screen."
How to mark the Vendor Visitors exit details?,"➽ You can mark the vendor visitor exit data by clicking on ""Mark Exit"" under the visitors on campus option. ✦ To mark the visitor as Exit, click Mark Exit and update the Exit time. PATH : Visitor Management 🡆Visitor Management 🡆Visitor Management Report. ⚡ In report page select branch, date and type of visitor, where in vendor's entry and exit which is our concern."
How to mark the other Visitors exit details?,"➽ You can mark the other visitors exit data by clicking on ""Mark Exit"" under the Visitors on Campus option. ✦To mark the visitor as Exit, click Mark Exit and update the Exit time. PATH : Branch level 🡆Visitor Management 🡆Visitors on Campus."
How to mark the Student Pickups exit details?,"➽ You can mark the Student Pickups exit data by clicking ""Mark Exit"" under the Parents on Campus option. ✦ To mark the visitor as Exit, click Mark Exit and update the Exit time."
How to add the Units and Sub Units against the Classes?,"To add the Units and Sub Units against the Classes, follow the steps given below: Step 1: To add the Units and Sub Units against the Classes, go to the Gradebook on the modules palette, select the Pre School module and then select Manage Curriculum/Syllabus under the Manage Curriculum menu. (Gradebook-->Pre School-->Manage Curriculum-->Manage Curriculum/Syllabus) Step 2: Select the respective Class and then select the Subject against which you want to manage the Syllabus. Click on +Unit/Main Theme to add a new Unit.Give the details like Unit/Main Theme No,Name and the Learning Outcomes then click on Save. Step 3: The unit will be added. To add the topics , select on the Arrow mark against the Unit name and select the Add Topics/Sub Unit. Fill in the details like Topic/Sub Unit No and Topic/Sub Unit Name then click on Save."
Can we create a gate pass for students leaving early for a particular day?,➽ You can create a gate pass for students leaving early by clicking Today's Gate Pass. You can select with whom the student will be leaving and the date and time. PATH : Visitor Management 🡆Visitor Management 🡆Today Gate pass.
How to mark the entry time of the parent visiting the school to take the student after raising the gate pass?,"➽ Once a parent comes to school to take their ward, you can make the entry time of the parent from ""Students / Staff Outside Campus."" ✦ To mark the entry time, view all the gate passes raised and click on the Mark entry in ""Students / Staff Outside Campus."" PATH : Visitor Management 🡆Students 🡆Staff Outside Campus."
Can we create a gate pass for employees departing early or requesting permission to return on a specific day?,"➽ You can create a gate pass for staff leaving early by clicking Today's Gate Pass. ✦ You can also select the gate pass for Personal or Official. ✦ You can also mention whether Will will come back today or Will not come for the day. ✦ If coming back for the day, then Permission given by hours can be given. ✦ If coming back, what will be the Expected In time. ✦ If you are not returning, then the reason and permission should be given. PATH : Visitor Management 🡆Visitor Management 🡆Today Gate Pass."
How do you record the staff's entry time if they chosen a gate pass to return?,"➽ Once after staff came to school the user can enter the Intime of the staff from ""Students / Staff Outside Campus"" ✦ If the staff have selected for not coming back then no need to do any entry time of exit time. PATH : Visitor Management 🡆Students 🡆Staff Outside Campus."
Can we add a Material Gate Pass if someone comes in for Material with Item details?,"➽ Yes, you can create a Material Gate Pass by giving the details below and printing the same for reference using a Material Gate pass. To add the gate pass, below are the details that need to be given. ✦ Name ✦ Mobile Number ✦ Time ✦ Approved By ✦ Remarks ✦ Whether the Items are returnable or not. ✦ Item details and quantity of the items. PATH : Visitor Management 🡆Visitor Management 🡆Today Gate Pass."
How to mark the Admission inquiry visitor exit details?,"➽ You can mark the admission inquiry visitor exit data by clicking ""Mark Exit"" under the Visitors on Campus option. ✦ To mark the visitor as Exit, click Mark Exit and update the Exit time. PATH : Visitor Management 🡆Visitor Management 🡆Visitors on Campus."
Can a parent raise request for Gate pass from the Parent login?,"➽ Yes, parents can raise requests for gate passes by selecting the date range from the Parent app/ Web portal. ★ The request will be shown in the branch/school admin login, where they can approve the gate pass and mark the exit time Day wise from the below option. PATH : Visitor Management 🡆Visitor Management 🡆Today Gate Pass."
Can the user approve the Visitor's Requests from the web portal?,"➽ Yes, once the request is raised by the front office/ branch login person, the same can be approved from the web portal by using the below path. ✦ While approving, please update Approved/Rejected Date, Approved/Rejected Time and Approve Remarks/Reject Remarks. PATH : Visitor Management 🡆Approvals 🡆Approve Outside Visitors Requests."
